,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,85,CK,1593866720,94,-21.21,-159.78,22.0,2.1
1,Punta Arenas,75,CL,1593866775,93,-53.15,-70.92,2.0,2.6
2,Tuktoyaktuk,100,CA,1593866776,97,69.45,-133.04,1.45,5.92
3,Piaçabuçu,29,BR,1593866776,66,-10.41,-36.43,26.77,3.99
4,Cape Town,40,ZA,1593866679,68,-33.93,18.42,18.33,5.1
5,Poum,100,NC,1593866777,74,-20.23,164.02,21.34,2.96
6,Ushuaia,75,AR,1593866778,86,-54.8,-68.3,-1.0,2.07
7,Wasilla,20,US,1593866778,87,61.58,-149.44,13.33,0.43
8,Hobart,75,AU,1593866649,81,-42.88,147.33,10.0,4.1
9,Lüderitz,0,NA,1593866779,31,-26.65,15.16,26.0,5.1
10,Dicabisagan,15,PH,1593866780,79,17.08,122.42,27.51,3.29
11,Leninskoye,38,RU,1593866780,91,47.94,132.62,20.7,3.04
12,Srednekolymsk,0,RU,1593866781,91,67.45,153.68,4.31,2.0
13,New Norfolk,99,AU,1593866781,80,-42.78,147.06,10.56,0.45
14,Chokurdakh,100,RU,1593866686,90,70.63,147.92,5.55,6.54
15,Nikolskoye,40,RU,1593866782,56,59.7,30.79,21.0,4.0
16,Rikitea,46,PF,1593866782,70,-23.12,-134.97,21.8,6.95
17,Kavieng,100,PG,1593866783,75,-2.57,150.8,28.04,1.56
18,Chānasma,99,IN,1593866783,49,23.72,72.12,36.42,2.41
19,Saint-Philippe,20,RE,1593866783,64,-21.36,55.77,23.0,8.7
20,Nome,90,US,1593866708,100,64.5,-165.41,7.0,3.1
21,Tambacounda,20,SN,1593866534,59,13.75,-13.76,32.0,2.1
22,San Juan,25,AR,1593866785,55,-31.54,-68.54,8.59,4.89
23,Hithadhoo,62,MV,1593866785,75,-0.6,73.08,29.45,6.0
24,Jamestown,1,US,1593866785,83,42.1,-79.24,22.22,2.1
25,Xique-Xique,0,BR,1593866786,52,-10.82,-42.73,26.55,7.89
26,Castro,0,BR,1593866786,68,-24.79,-50.01,11.99,2.2
27,Nuuk,90,GL,1593866677,93,64.18,-51.72,4.0,4.6
28,Qaanaaq,0,GL,1593866710,63,77.48,-69.36,6.17,1.2
29,Severo-Kuril'sk,85,RU,1593866691,87,50.68,156.12,9.02,3.54
30,Port Alfred,100,ZA,1593866789,72,-33.59,26.89,18.89,4.02
31,Bengkulu,59,ID,1593866589,85,-3.8,102.27,26.57,2.32
32,Flinders,0,AU,1593866790,66,-34.58,150.86,11.11,5.36
33,Auki,83,SB,1593866719,83,-8.77,160.7,25.44,1.87
34,Barrow,90,US,1593866791,80,71.29,-156.79,2.0,4.6
35,Tacuarembó,1,UY,1593866531,73,-31.73,-55.98,8.82,4.24
36,Chui,26,UY,1593866791,74,-33.7,-53.46,8.7,4.66
37,Tilichiki,100,RU,1593866792,99,60.47,166.1,7.14,3.51
38,Danielskuil,0,ZA,1593866792,22,-28.19,23.54,19.3,5.54
39,Dikson,100,RU,1593866793,54,73.51,80.55,11.94,5.51
40,George Town,20,MY,1593866793,79,5.41,100.34,30.0,2.1
41,Touros,40,BR,1593866793,78,-5.2,-35.46,27.0,4.1
42,Kelo,98,TD,1593866794,54,9.31,15.81,29.66,2.27
43,Bogotá,75,CO,1593866795,93,4.61,-74.08,12.0,3.1
44,Upernavik,100,GL,1593866795,89,72.79,-56.15,2.91,6.46
45,Ahipara,3,NZ,1593866796,76,-35.17,173.17,12.24,5.53
46,Maceió,20,BR,1593866796,78,-9.67,-35.74,26.0,1.5
47,Greenwood,1,US,1593866797,100,34.17,-82.12,23.33,0.68
48,Constitución,0,CL,1593866797,80,-35.33,-72.42,9.1,1.7
49,Turaif,0,SA,1593866798,13,31.67,38.66,42.0,9.3
50,Cabo San Lucas,75,MX,1593866798,69,22.89,-109.91,27.0,3.6
51,Médéa,20,DZ,1593866799,48,36.26,2.75,30.0,6.7
52,Hilo,90,US,1593866799,88,19.73,-155.09,23.0,2.6
53,Busselton,76,AU,1593866799,60,-33.65,115.33,15.56,4.87
54,Bellavista,75,PE,1593866800,100,-7.06,-76.59,23.0,0.22
55,Ninghai,100,CN,1593866800,99,29.29,121.42,26.11,1.34
56,Bluff,100,NZ,1593866720,96,-46.6,168.33,8.71,4.74
57,Verkh-Chebula,7,RU,1593866801,82,56.03,87.62,23.03,2.44
58,Atuona,4,PF,1593866802,76,-9.8,-139.03,26.15,9.97
59,Vaini,40,TO,1593866720,73,-21.2,-175.2,21.0,3.1
60,Puerto Ayora,96,EC,1593866803,94,-0.74,-90.35,20.56,1.79
61,Imbituba,0,BR,1593866803,71,-28.24,-48.67,14.0,5.7
62,Aklavik,90,CA,1593866804,93,68.22,-135.01,6.0,5.7
63,Mahébourg,75,MU,1593866777,83,-20.41,57.7,22.0,4.6
64,Kapaa,90,US,1593866805,94,22.08,-159.32,24.0,2.1
65,Masallātah,0,LY,1593866805,58,32.62,14.0,27.85,8.19
66,Khatanga,0,RU,1593866806,40,71.97,102.5,17.61,6.01
67,Najrān,75,SA,1593866806,24,17.49,44.13,38.0,4.1
68,Honiara,40,SB,1593866807,94,-9.43,159.95,24.0,2.1
69,Gushi,96,CN,1593866807,40,34.64,109.58,31.36,1.69
70,Butaritari,100,KI,1593866807,72,3.07,172.79,28.41,5.08
71,Esperance,94,AU,1593866721,66,-33.87,121.9,13.0,4.6
72,Tezu,55,IN,1593866808,77,27.92,96.17,27.48,0.57
73,Kodinsk,0,RU,1593866809,45,58.69,99.18,26.89,2.33
74,Labuhan,0,ID,1593866809,74,-6.88,112.21,26.43,4.95
75,Hasaki,75,JP,1593866664,78,35.73,140.83,27.0,6.2
76,Hirado,75,JP,1593866810,78,33.36,129.55,25.0,1.0
77,Yārāda,100,IN,1593866811,79,17.65,83.27,26.92,8.59
78,Menongue,0,AO,1593866811,18,-14.66,17.69,25.36,4.64
79,Virginia Beach,40,US,1593866812,74,36.85,-75.98,28.89,3.6
